Subject,Vowel,B,D,G,K,P,T,M,N,S,Z,L,R,F,V
1,0.184211495,0.185521001,0.192487772,0.219334329,0.163566006,0.192071866,0.159005726,0.151644681,0.169769454,0.173520742,0.127181661,0.155721012,0.141006701,0.171548047,0.166781383
2,0.152256715,0.233130783,0.200092958,0.1637144,0.203152884,0.178405844,0.235628646,0.144537403,0.139017299,0.160287111,0.129972931,0.183258343,0.154863434,0.175284959,0.192878562
3,0.142215193,0.221032973,0.184553472,0.163244641,0.156993847,0.179308563,0.1893035,0.192062153,0.157245602,0.180881789,0.147534279,0.15361973,0.139026207,0.212637814,1.58E-01
4,0.375043092,0.379459884,0.363091075,0.342197137,0.266476621,0.295102265,0.255782292,0.271089359,0.267203933,0.250570839,0.247183722,0.230357727,0.301836477,0.196344824,0.200867728
5,0.293251239,0.262808114,0.249977293,0.290902193,0.226157203,0.317294074,0.251611102,0.258654531,0.268919495,0.258997277,0.233745357,0.267106633,0.291735581,0.262786831,0.224701412
6,0.20189337,0.178880449,0.242695886,0.194474859,0.148661611,0.268405488,0.208589414,0.274522366,0.17488692,0.209378207,0.174849997,0.225037159,0.209410347,0.155226302,0.159721495
7,0.214660346,0.225560784,0.167893907,0.202112263,0.22086382,0.211642387,0.176452502,0.241320363,0.255220055,0.163951188,0.220191495,0.170339392,0.148881962,0.228789944,0.184954147
8,0.316342491,0.296659499,0.309509768,0.220564682,0.189166579,0.244906954,0.208364801,0.414171189,0.237585051,0.261275521,0.187414005,0.229344041,0.234644725,0.26452676,0.261485383
9,0.49888281,0.442784944,0.440943519,0.311074534,0.288075119,0.42458068,0.386251308,0.534699694,0.429292669,0.323379559,0.312007589,0.443870761,0.419873512,0.294857709,0.259495566
10,0.217010316,0.302339737,0.2509152,0.249127741,0.204418617,0.179703201,0.290950272,0.25526555,0.191759332,0.157453173,0.163421562,0.260207421,0.259503529,0.152318639,0.211007654
11,0.300850621,0.316487367,0.34307133,0.340179453,0.250069614,0.218850615,0.223611272,0.353279016,0.258389031,0.196270491,0.210298071,0.260069384,0.30471931,0.215774714,0.310449421
12,0.241603311,0.19637762,0.239280704,0.264961389,0.298070912,0.240101208,0.305446632,0.292995555,0.314614293,0.207079624,0.151562661,0.221927381,0.166333645,0.207478647,0.229310357
13,0.315718464,0.273709313,0.351384668,0.18091661,0.168823958,0.200491945,0.260751709,0.310651144,0.251971862,0.235177242,0.21332154,0.248114594,0.260411006,0.330030091,0.276008454
14,0.224992205,0.26380492,0.269570545,0.234381829,0.186213714,0.244701077,0.272017806,0.24991607,0.306016628,0.182743334,0.157460413,0.240017906,0.214531295,0.264787319,0.184546826
15,0.520841678,0.529176477,0.42769223,0.504960276,0.425704499,0.361785363,0.307466136,0.427827016,0.551995353,0.363376691,0.224361066,0.508291024,0.423918527,0.347781366,0.37030825
16,0.332854803,0.283680168,0.330036686,0.294152815,0.267605544,0.30144745,0.27725723,0.229948496,0.251818248,0.324656493,0.211619476,0.233338679,0.256755081,0.249200585,0.371495983
17,0.196634766,0.168843447,0.163610368,0.172469623,0.182369155,0.219145322,0.250282203,0.195552051,0.293449409,0.202167689,0.13442532,0.196894159,0.190064686,0.166036603,0.236635208
18,0.255376906,0.390703436,0.33629497,0.232594324,0.218822878,0.199949073,0.24758462,0.233146021,0.201408485,0.203048578,0.199960665,0.18921448,0.261507684,0.197955334,0.161124233
19,0.206864229,0.244255212,0.211692368,0.20902078,0.182279335,0.157887621,0.250331257,0.414042354,0.35502993,0.194563641,0.189810605,0.237055018,0.276946036,0.222046628,0.161814577
20,0.231714631,0.223451648,0.203131942,0.251913139,0.234953288,0.232207126,0.238052302,0.421883567,0.323254557,0.27736733,0.205132844,0.324961322,0.214161091,0.296969271,0.20951968
21,0.252921417,0.233537043,0.284288691,0.212209372,0.218887349,0.203524723,0.211620945,0.17812713,0.154614344,0.168357558,0.167644859,0.243908949,0.202778235,0.184117007,0.165432461
22,0.281739487,0.300503734,0.280696744,0.244120231,0.195229837,0.238289092,0.219783018,0.267464577,0.22126941,0.217347045,0.227909889,0.222393948,0.252070613,0.245689228,0.277316835
23,0.205101856,0.276571699,0.295167687,0.17840711,0.186877563,0.164275878,0.171560467,0.28855046,0.194923891,0.241321433,0.229584594,0.278046261,0.182093066,0.203427026,0.187720267
24,0.377490791,0.28383529,0.262267588,0.226562391,0.244502931,0.248361424,0.176272621,0.247343037,0.24138286,0.209845139,0.274314587,0.21856856,0.295020966,0.215692451,0.251651966
25,0.246630434,0.287845492,0.249862557,0.221667959,0.231805519,0.221163911,0.236911792,0.300340952,0.307587284,0.205558874,0.186884179,0.190747602,0.205709901,0.218022213,0.246526173
