Subject,Sibilants,Nasals,Fricatives,Rhotics,Stops
1,0.150351202,0.160707067,0.169164715,0.148363856,0.185331117
2,0.145130021,0.141777351,0.18408176,0.169060888,0.202354253
3,0.164208034,0.174653878,0.185123556,0.146322969,0.182406166
4,0.248877281,0.269146646,0.198606276,0.266097102,0.317018212
5,0.246371317,0.263787013,0.243744122,0.279421107,0.26645833
6,0.192114102,0.224704643,0.157473898,0.217223753,0.206951284
7,0.192071341,0.248270209,0.206872045,0.159610677,0.200754277
8,0.224344763,0.32587812,0.263006072,0.231994383,0.244862047
9,0.317693574,0.481996181,0.277176637,0.431872136,0.382285017
10,0.160437367,0.223512441,0.181663147,0.259855475,0.246242461
11,0.203284281,0.305834023,0.263112067,0.282394347,0.282044942
12,0.179321142,0.303804924,0.218394502,0.194130513,0.257373077
13,0.224249391,0.281311503,0.303019272,0.2542628,0.239346367
14,0.170101873,0.277966349,0.224667072,0.227274601,0.245114982
15,0.293868878,0.489911185,0.359044808,0.466104775,0.42613083
16,0.268137985,0.240883372,0.310348284,0.24504688,0.292363316
17,0.168296504,0.24450073,0.201335905,0.193479423,0.192786686
18,0.201504621,0.217277253,0.179539784,0.225361082,0.27099155
19,0.192187123,0.384536142,0.191930603,0.257000527,0.209244429
20,0.241250087,0.372569062,0.253244475,0.269561206,0.230618241
21,0.168001208,0.166370737,0.174774734,0.223343592,0.227344687
22,0.222628467,0.244366994,0.261503032,0.237232281,0.246437109
23,0.235453014,0.241737175,0.195573646,0.230069663,0.212143401
24,0.242079863,0.244362949,0.233672209,0.256794763,0.240300374
25,0.196221527,0.303964118,0.232274193,0.198228751,0.241542872
