Subject,Sibilants,Nasals,Stops
1,0.057972637,0.024312054,0.014158
2,0.068976204,0.018616073,0.075830538
3,0.02519738,0.044213016,0.033668971
4,0.052662185,0.030834352,0.023211004
5,0.048250518,0.054680539,0.079370517
6,0.054227734,0.006389827,0.033352823
7,0.032264944,0.096559429,0.032450321
8,0.133267691,0.024412841,0.083711265
9,0.024721383,0.134974517,0.055995153
10,0.039280674,0.040919815,0.042994336
11,0.080658206,0.160024912,0.127493201
12,0.02877976,-0.00556427,-0.010247096
13,0.011148069,0.018237611,0.016267343
14,0.046113331,0.069872734,0.03286031
15,0.055193652,-0.061614346,0.004988971
16,-0.027260901,0.042248437,-0.024577673
17,0.02393974,0.033951394,0.029246866
18,0.042004707,0.038313411,0.025620036
19,0.062862139,0.012559903,0.026950886
20,0.107972296,0.095075471,0.079009717
21,0.049688047,0.003309589,0.048615502
22,0.012018713,0.041480863,0.043334429
23,0.033992935,0.007984213,0.044494959
24,0.088643063,0.06691536,0.053429351
25,0.039429291,0.076407604,0.056133907
