Subject,Vowel1,Vowel2,Vowel3,B1,B2,B3,D1,D2,D3,G1,G2,G3,K1,K2,K3,P1,P2,P3,T1,T2,T3,M1,M2,M3,N1,N2,N3,S1,S2,S3,Z1,Z2,Z3,L1,L2,L3,R1,R2,R3,F1,F2,F3,V1,V2,V3
1,0.069247295,-0.025768901,0.084790629,0.019559254,-0.060416517,-0.017141256,0.007360039,-0.016800089,-0.005201526,0.049502931,0.02081363,0.011632227,-0.000153341,0.050075127,0.034448003,0.042353538,0.039848565,0.014639053,0.004286006,0.028545555,0.031492796,0.055765979,0.035569591,-0.003936058,0.033193702,0.006258083,0.006083359,0.049360482,0.036086241,0.057658144,0.088786605,0.002842276,0.031256199,0.019188037,-0.001147102,0.075685048,0.067897939,-0.005791036,0.002977103,0.040109546,0.064778523,0.064081208,0.075014634,0.148671567,0.037026217
2,0.084996401,0.065460352,0.030070026,0.161009305,0.117494401,0.024785506,0.022278595,0.118430683,0.030761897,0.066096443,0.077736831,0.047180866,0.071954502,0.016360318,0.089276311,0.103971021,0.122133639,0.130486344,0.045804079,0.113345444,0.005843504,0.027568102,0.018221495,0.040034682,0.01596219,0.011109545,0.014418242,0.113736316,0.030723573,0.036146815,-0.003217029,0.004251279,0.043137319,-0.06774645,0.035685599,0.021853128,0.043178944,0.037442011,0.025665391,0.049613447,0.08360267,0.134299493,0.092591227,0.182360459,0.060468884
3,0.043053122,0.057099053,-0.010556563,-0.049731371,-0.002454403,0.124209197,0.035496747,0.046983007,-0.021224552,0.043307189,0.053308111,0.040640059,0.062615714,0.045801688,-0.028489226,0.021302935,0.026083154,0.071174505,0.093763918,0.020375022,0.022879781,0.077504648,0.097015587,0.084190294,0.007629467,0.048193741,0.024874198,0.051342088,0.028627063,0.096589272,-0.002932643,0.057710333,0.091995713,0.033043019,0.003130881,0.078009897,0.105880874,-0.027756895,-0.001159519,-0.092141251,0.060773915,0.010523953,-0.060090266,-0.000429205,0.060399588
4,-0.018371272,0.097865734,0.067619706,0.022192115,-0.000669185,0.106435104,0.06595651,-0.067013226,-0.018326203,0.036013158,0.093138531,-0.076050816,0.304246403,-0.038493898,0.059989332,-0.05058759,-0.003311714,0.006548926,-0.018698347,0.029753162,-0.0333242,0.0907497,-0.01152989,0.080790744,0.06137604,-0.032617579,-0.021328084,0.087015659,0.116398232,0.047756342,0.097182039,0.054217312,0.047297221,0.003819698,-0.021277835,-0.016826552,-0.01369058,0.216084101,0.034462458,0.003997228,0.038158291,0.000908516,-0.031303768,0.096600521,0.07371863
5,0.190733698,0.100415698,0.019071685,0.052350235,0.085828393,0.103961594,0.086816145,0.048328833,0.232538447,0.120978031,0.078650042,0.043235736,-0.002690821,0.085688722,0.039341478,0.008631727,-0.082444991,0.147491544,0.116790483,0.137385776,0.125787936,0.118101121,0.131288362,0.127198489,0.005717762,0.061017227,-0.060099813,-0.031761838,0.042820879,0.058122906,0.002857702,-0.021230709,0.035492894,0.069171386,0.124797207,-0.013004525,0.125156968,-0.038976808,0.005799098,0.221675694,0.040687921,0.019578585,0.158753712,0.076281982,-0.024273508
6,0.018339279,0.014766925,0.003331224,0.136080917,0.030261282,0.007495197,0.039421937,-0.089851521,0.013786834,0.016860566,0.053916831,0.065467733,0.057207194,0.006719982,0.007209531,0.145006149,0.008367983,0.075824412,-0.021881468,0.022092117,0.026365143,0.002128658,0.065848745,0.046369179,-0.02433988,0.006118961,0.068427149,0.035351578,0.054058719,0.07459008,0.034773118,0.035814553,0.098659684,0.012983915,-0.018940553,-0.0126539,0.002502359,-0.01130252,-0.060464187,0.054838268,-0.009662375,0.023764128,0.161346391,0.033195348,0.054003315
7,0.047847696,0.017905982,-0.000823339,0.010767849,0.017106051,-0.006834687,0.071688068,0.069961202,0.075819131,0.080946281,0.008281299,0.006315863,0.101929662,0.09358989,0.082785676,-0.05952384,0.043422748,-0.024698459,-0.012684891,-0.019244101,0.04447804,0.081224766,0.049698701,0.068751108,0.137778194,0.264060388,0.201894622,0.004842511,0.029034032,0.053722828,0.021759081,0.144674893,0.108411749,0.031892847,0.127016526,0.074161046,0.04253303,0.022118369,0.057583556,0.011156534,0.021879738,-0.053842368,-0.013356467,0.05874553,0.00015127
8,0.041864681,0.179531413,0.171538236,0.039364592,0.124185827,0.134826896,0.036416893,0.029442541,0.218781596,0.108288659,0.013281773,0.114425298,0.038810398,0.033033378,0.059555141,0.048643082,0.092126278,0.100290153,0.069938783,0.065283565,0.180107922,0.099287508,0.004156267,-0.036373119,0.049855357,-0.02703429,0.045460012,0.205098337,0.286458009,0.16362056,0.102188013,0.086307114,6.65E-05,0.008196674,0.004402578,0.04241036,0.043063703,0.033122516,0.02640653,0.239636134,0.148264526,0.089081974,0.120217051,0.115684565,0.042589455
9,0.105654997,-0.014669574,-0.074505318,0.166372159,0.134974915,0.11039661,0.327410654,0.076276402,0.076834971,0.068643414,0.1707444,0.09973271,-0.020552676,0.023224876,-0.027779064,-0.095047083,-0.050512542,-0.132399048,0.106310297,-0.139849763,0.113131521,0.252899769,0.204088909,0.097666524,0.144359445,0.072016384,0.309079579,0.177421923,0.115537456,-0.029614632,-0.014391997,-0.030420784,-0.03657688,0.22173707,0.330097033,0.071046911,-0.127861077,0.06298016,-0.018416501,0.054582563,-0.104023218,-0.037239667,-0.024272136,0.112014951,0.113639018
10,0.043197802,0.044569435,-0.039169461,0.019150746,0.069856835,0.089510098,0.065100458,0.064311664,0.032488261,-0.043672409,0.090619033,0.034894672,0.117835968,0.081096821,0.076983179,0.047957891,0.037671579,0.005140864,0.041420737,-0.061975378,0.005507038,0.040554084,-0.023628413,0.11010187,0.047742618,0.014098744,-0.007249367,0.06680885,0.094818353,0.009015337,0.014473321,0.000653009,-0.003424963,0.129003221,0.021706125,0.05842559,-0.054868542,0.096047434,0.059104422,0.004390626,0.051687866,0.078407319,0.065777191,-0.003744826,0.092506006
