Consonant,Power
Sibilants,1.308520751
Sibilants,2.318426903
Sibilants,1.592019733
Sibilants,1.525511542
Sibilants,3.919865106
Sibilants,1.525500361
Sibilants,2.062688601
Sibilants,2.42535869
Sibilants,4.306500324
Sibilants,1.579832364
Sibilants,2.229026357
Sibilants,2.353855773
Sibilants,3.71425611
Sibilants,1.688006007
Sibilants,4.06381138
Sibilants,3.399128517
Sibilants,1.902050469
Sibilants,2.069064189
Sibilants,1.031871028
Sibilants,1.187330222
Sibilants,1.643505339
Sibilants,3.871252768
Sibilants,4.252682171
Sibilants,2.255549591
Sibilants,1.760068177
Nasals,1.647187901
Nasals,2.134739405
Nasals,1.471429569
Nasals,2.426894791
Nasals,4.317575386
Nasals,1.988186303
Nasals,2.843630758
Nasals,4.98732987
Nasals,6.004632315
Nasals,2.306214045
Nasals,2.031607454
Nasals,5.72926448
Nasals,5.446883277
Nasals,2.600681181
Nasals,13.32923766
Nasals,1.793578151
Nasals,2.672289707
Nasals,2.400786393
Nasals,3.686361575
Nasals,4.055439549
Nasals,2.255796277
Nasals,3.317878455
Nasals,3.607301397
Nasals,3.039457149
Nasals,2.732496976
Fricatives,1.257001705
Fricatives,1.825419338
Fricatives,2.447559594
Fricatives,1.524117028
Fricatives,2.552525835
Fricatives,1.256659484
Fricatives,2.689627248
Fricatives,3.040023118
Fricatives,3.134283455
Fricatives,1.297506445
Fricatives,3.282834768
Fricatives,3.733603593
Fricatives,5.367660757
Fricatives,3.583440768
Fricatives,7.11056891
Fricatives,3.217992772
Fricatives,2.81087808
Fricatives,1.782956815
Fricatives,1.20653774
Fricatives,1.759085713
Fricatives,2.344841696
Fricatives,3.320209182
Fricatives,3.546655682
Fricatives,3.269589861
Fricatives,2.167824431
Rhotics,1.090768917
Rhotics,2.80014691
Rhotics,1.702125056
Rhotics,2.262050503
Rhotics,4.034579826
Rhotics,2.21037039
Rhotics,1.985019887
Rhotics,3.418576388
Rhotics,6.372042538
Rhotics,2.659454218
Rhotics,3.313804864
Rhotics,2.546252637
Rhotics,3.272018661
Rhotics,2.268046878
Rhotics,13.54182073
Rhotics,2.045513212
Rhotics,2.461977143
Rhotics,2.952229478
Rhotics,2.063538341
Rhotics,2.78272854
Rhotics,3.259479864
Rhotics,3.175961239
Rhotics,3.48197324
Rhotics,3.860508528
Rhotics,1.775237659
Stops,2.035697654
Stops,2.294932619
Stops,1.60047849
Stops,2.813721249
Stops,2.99702732
Stops,1.899162043
Stops,2.765976491
Stops,3.241281917
Stops,5.173626333
Stops,2.02436271
Stops,2.903701599
Stops,4.031702586
Stops,4.477471234
Stops,3.169850522
Stops,7.934931221
Stops,3.090001384
Stops,2.460857786
Stops,3.531416445
Stops,1.653884765
Stops,1.565855742
Stops,2.470859069
Stops,3.029907605
Stops,2.815134697
Stops,3.162194155
Stops,2.613908662
