Subject,Sibilants,Nasals,Stops
1,0.159757958,0.154535462,0.185331117
2,0.164605891,0.15541912,0.202354253
3,0.174665795,0.160488423,0.182406166
4,0.223741778,0.267621874,0.317018212
5,0.245057719,0.27160406,0.26645833
6,0.174794,0.220964198,0.206951284
7,0.199471693,0.203940443,0.200754277
8,0.243675417,0.278936252,0.244862047
9,0.297435106,0.456934159,0.382285017
10,0.171050257,0.241683958,0.246242461
11,0.233198174,0.294114185,0.282044942
12,0.198857822,0.248967719,0.257373077
13,0.263634332,0.267787152,0.239346367
14,0.197384473,0.252620475,0.245114982
15,0.326456843,0.47800798,0.42613083
16,0.289243134,0.242965126,0.292363316
17,0.184816205,0.218990076,0.192786686
18,0.190522203,0.221319167,0.27099155
19,0.192058863,0.320768335,0.209244429
20,0.247247281,0.321065134,0.230618241
21,0.171387971,0.194857165,0.227344687
22,0.242065749,0.240799637,0.246437109
23,0.21551333,0.235903419,0.212143401
24,0.237876036,0.250578856,0.240300374
25,0.21424786,0.251096435,0.241542872
