Subject,Vowels,Sibilants,Nasals,VoicedStops,UnvoicedStops
1,0.184211495,0.159757958,0.154535462,0.199114368,0.171547866
2,0.152256715,0.164605891,0.15541912,0.19897938,0.205729125
3,0.142215193,0.174665795,0.160488423,0.189610362,0.17520197
4,0.375043092,0.223741778,0.267621874,0.361582699,0.272453726
5,0.293251239,0.245057719,0.27160406,0.267895866,0.265020793
6,0.20189337,0.174794,0.220964198,0.205350398,0.208552171
7,0.214660346,0.199471693,0.203940443,0.198522318,0.202986236
8,0.316342491,0.243675417,0.278936252,0.275577983,0.214146111
9,0.49888281,0.297435106,0.456934159,0.398267666,0.366302369
10,0.217010316,0.171050257,0.241683958,0.267460893,0.22502403
11,0.300850621,0.233198174,0.294114185,0.33324605,0.230843834
12,0.241603311,0.198857822,0.248967719,0.233539904,0.281206251
13,0.315718464,0.263634332,0.267787152,0.268670197,0.210022537
14,0.224992205,0.197384473,0.252620475,0.255919098,0.234310866
15,0.520841678,0.326456843,0.47800798,0.487276328,0.364985333
16,0.332854803,0.289243134,0.242965126,0.302623223,0.282103408
17,0.196634766,0.184816205,0.218990076,0.168307813,0.21726556
18,0.255376906,0.190522203,0.221319167,0.319864243,0.222118857
19,0.206864229,0.192058863,0.320768335,0.22165612,0.196832738
20,0.231714631,0.247247281,0.321065134,0.226165576,0.235070906
21,0.252921417,0.171387971,0.194857165,0.243345035,0.211344339
22,0.281739487,0.242065749,0.240799637,0.275106903,0.217767316
23,0.205101856,0.21551333,0.235903419,0.250048832,0.174237969
24,0.377490791,0.237876036,0.250578856,0.25755509,0.223045659
25,0.246630434,0.21424786,0.251096435,0.253125336,0.229960408
