Subject,Group,ITC
1,Sibilants,0.15975796
1,Nasals,0.15453546
1,Stops,0.18533112
2,Sibilants,0.16460589
2,Nasals,0.15541912
2,Stops,0.20235425
3,Sibilants,0.1746658
3,Nasals,0.16048842
3,Stops,0.18240617
4,Sibilants,0.22374178
4,Nasals,0.26762187
4,Stops,0.31701821
5,Sibilants,0.24505772
5,Nasals,0.27160406
5,Stops,0.26645833
6,Sibilants,0.174794
6,Nasals,0.2209642
6,Stops,0.20695128
7,Sibilants,0.19947169
7,Nasals,0.20394044
7,Stops,0.20075428
8,Sibilants,0.24367542
8,Nasals,0.27893625
8,Stops,0.24486205
9,Sibilants,0.29743511
9,Nasals,0.45693416
9,Stops,0.38228502
10,Sibilants,0.17105026
10,Nasals,0.24168396
10,Stops,0.24624246
11,Sibilants,0.23319817
11,Nasals,0.29411419
11,Stops,0.28204494
12,Sibilants,0.19885782
12,Nasals,0.24896772
12,Stops,0.25737308
13,Sibilants,0.26363433
13,Nasals,0.26778715
13,Stops,0.23934637
14,Sibilants,0.19738447
14,Nasals,0.25262048
14,Stops,0.24511498
15,Sibilants,0.32645684
15,Nasals,0.47800798
15,Stops,0.42613083
16,Sibilants,0.28924313
16,Nasals,0.24296513
16,Stops,0.29236332
17,Sibilants,0.18481621
17,Nasals,0.21899008
17,Stops,0.19278669
18,Sibilants,0.1905222
18,Nasals,0.22131917
18,Stops,0.27099155
19,Sibilants,0.19205886
19,Nasals,0.32076834
19,Stops,0.20924443
20,Sibilants,0.24724728
20,Nasals,0.32106513
20,Stops,0.23061824
21,Sibilants,0.17138797
21,Nasals,0.19485717
21,Stops,0.22734469
22,Sibilants,0.24206575
22,Nasals,0.24079964
22,Stops,0.24643711
23,Sibilants,0.21551333
23,Nasals,0.23590342
23,Stops,0.2121434
24,Sibilants,0.23787604
24,Nasals,0.25057886
24,Stops,0.24030037
25,Sibilants,0.21424786
25,Nasals,0.25109644
25,Stops,0.24154287
