Subject,Sibilants,Nasals,Fricatives,Rhotics,Stops
1,1.308520751,1.647187901,1.257001705,1.090768917,2.035697654
2,2.318426903,2.134739405,1.825419338,2.80014691,2.294932619
3,1.592019733,1.471429569,2.447559594,1.702125056,1.60047849
4,1.525511542,2.426894791,1.524117028,2.262050503,2.813721249
5,3.919865106,4.317575386,2.552525835,4.034579826,2.99702732
6,1.525500361,1.988186303,1.256659484,2.21037039,1.899162043
7,2.062688601,2.843630758,2.689627248,1.985019887,2.765976491
8,2.42535869,4.98732987,3.040023118,3.418576388,3.241281917
9,4.306500324,6.004632315,3.134283455,6.372042538,5.173626333
10,1.579832364,2.306214045,1.297506445,2.659454218,2.02436271
11,2.229026357,2.031607454,3.282834768,3.313804864,2.903701599
12,2.353855773,5.72926448,3.733603593,2.546252637,4.031702586
13,3.71425611,5.446883277,5.367660757,3.272018661,4.477471234
14,1.688006007,2.600681181,3.583440768,2.268046878,3.169850522
15,4.06381138,13.32923766,7.11056891,13.54182073,7.934931221
16,3.399128517,1.793578151,3.217992772,2.045513212,3.090001384
17,1.902050469,2.672289707,2.81087808,2.461977143,2.460857786
18,2.069064189,2.400786393,1.782956815,2.952229478,3.531416445
19,1.031871028,3.686361575,1.20653774,2.063538341,1.653884765
20,1.187330222,4.055439549,1.759085713,2.78272854,1.565855742
21,1.643505339,2.255796277,2.344841696,3.259479864,2.470859069
22,3.871252768,3.317878455,3.320209182,3.175961239,3.029907605
23,4.252682171,3.607301397,3.546655682,3.48197324,2.815134697
24,2.255549591,3.039457149,3.269589861,3.860508528,3.162194155
25,1.760068177,2.732496976,2.167824431,1.775237659,2.613908662
